Tweet,Sentimental,:),:-),:d,thanks,love,good,thank,see,happy,great,:(,:-(,miss,please,want,can't,time,sorry,one
@rachelburden Have a fabulous time. Will miss you. :) xx,Positive,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"I do not know. I'm sorry !!
:( https://t.co/3dQB9Pt3UY",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
@Cramdaline It just doesn't go away... you must go to the dentist. :( #poorKid,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"@LampeLois Please follow me, I will return it soon follow :) #TuitUtil http://t.co/Fw5JKPrVxt",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stats for the week have arrived. 1 new follower and NO unfollowers :) via http://t.co/knhEHfUJRs.,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@cinghh @imvnaj @BahetiRidham party cancel :p #BajrangiBhaijaanHighestWeek1,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Happy and wonderful birthday my love ðŸ’Ÿ Have the most beautiful day in the world :),Positive,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry and niall and -94 (when harry was born) ik it's stupid and i wanna change it :D https://t.co/gHAt8ZDAfF,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@TheLadyShelly haha I feel so naked without ole beardy tho :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I Miss this Cutie Ry :( https://t.co/cUCqzzhIbY,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
im so sure fany is so happy now :(,Negative,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"I'm really trying hard to level up my working-on-a-tight-schedule art for comics, &amp; I know sometimes the art looks off, but :( ganbarimasu",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@tv3midday Aw no.... was just about to switch over :-(,Negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
@CFVUF We hope it helped! :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
need rest badly :-(,Negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
@GutterdogUK I am ashamed at my language :(!,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@Smit_Meister @scotchism So this is debatable  :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#ClimateChange #CC It ain't easy being green if you're a golf course in California.: Ulti... http://t.co/La82RXzTs2 #UniteBlue #Tcot :-(,Negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
@gunthercollier but i wanna go :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"@athrawestokio @AdeccoWaytoWork @AdeccoJapan next week, i will be at my office ! so lets go :)",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
